repo,project,references,referencePath,crossRepo
NuGet.Client,NuGet.Packaging.Test,NuGet.Packaging,src/NuGet.Core/NuGet.Packaging/NuGet.Packaging.csproj,False
NuGet.Client,NuGet.Packaging.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Packaging.Test,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Protocol.Tests,NuGet.Protocol,src/NuGet.Core/NuGet.Protocol/NuGet.Protocol.csproj,False
NuGet.Client,NuGet.Protocol.Tests,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Build.Tasks.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Build.Tasks.Test,NuGet.Build.Tasks,src/NuGet.Core/NuGet.Build.Tasks/NuGet.Build.Tasks.csproj,False
NuGet.Client,NuGet.Build.Tasks.Test,NuGet.Build.Tasks.Console,src/NuGet.Core/NuGet.Build.Tasks.Console/NuGet.Build.Tasks.Console.csproj,False
NuGet.Client,NuGet.Build.Tasks.Test,NuGet.Configuration.Test,test/NuGet.Core.Tests/NuGet.Configuration.Test/NuGet.Configuration.Test.csproj,False
NuGet.Client,NuGet.Configuration.Test,NuGet.Configuration,src/NuGet.Core/NuGet.Configuration/NuGet.Configuration.csproj,False
NuGet.Client,NuGet.Configuration.Test,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,NuGet.Shared.Tests,Test.Utility,test/TestUtilities/Test.Utility/Test.Utility.csproj,False
NuGet.Client,SampleCommandLineExtensions,NuGet.CommandLine,src/NuGet.Clients/NuGet.CommandLine/NuGet.CommandLine.csproj,False
NuGet.Client,API.Test,NuGet.PackageManagement.VisualStudio,src/NuGet.Clients/NuGet.PackageManagement.VisualStudio/NuGet.PackageManagement.VisualStudio.csproj,False
NuGet.Client,TestablePlugin,NuGet.Protocol,src/NuGet.Core/NuGet.Protocol/NuGet.Protocol.csproj,False
NuGet.Client,TestablePlugin,NuGet.Versioning,src/NuGet.Core/NuGet.Versioning/NuGet.Versioning.csproj,False
NuGet.Client,NuGet.VisualStudio.Test,NuGet.VisualStudio,src/NuGet.Clients/NuGet.VisualStudio/NuGet.VisualStudio.csproj,False
NuGet.Client,NuGet.VisualStudio.Test,VisualStudio.Test.Utility,test/TestUtilities/VisualStudio.Test.Utility/VisualStudio.Test.Utility.csproj,False
