repo,project,references,referencePath,crossRepo
src,KurrentDB.Connectors,KurrentDB.Connectors.Contracts,Connectors/KurrentDB.Connectors.Contracts/KurrentDB.Connectors.Contracts.csproj,False
src,KurrentDB.Connectors.TestServer,KurrentDB.Connectors,Connectors/KurrentDB.Connectors/KurrentDB.Connectors.csproj,False
src,KurrentDB.OtlpExporterPlugin.Tests,KurrentDB.OtlpExporterPlugin,KurrentDB.OtlpExporterPlugin/KurrentDB.OtlpExporterPlugin.csproj,False
src,KurrentDB.TcpPlugin.Tests,KurrentDB.Core.Testing,KurrentDB.Core.Testing/KurrentDB.Core.Testing.csproj,False
src,KurrentDB.TcpPlugin.Tests,KurrentDB.TcpPlugin,KurrentDB.TcpPlugin/KurrentDB.TcpPlugin.csproj,False
src,KurrentDB.TcpPlugin,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB,KurrentDB.Auth.Ldaps,KurrentDB.Auth.Ldaps/KurrentDB.Auth.Ldaps.csproj,False
src,KurrentDB,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled,KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled/KurrentDB.Auth.LegacyAuthorizationWithStreamAuthorizationDisabled.csproj,False
src,KurrentDB,KurrentDB.Auth.OAuth,KurrentDB.Auth.OAuth/KurrentDB.Auth.OAuth.csproj,False
src,KurrentDB,KurrentDB.Auth.StreamPolicyPlugin,KurrentDB.Auth.StreamPolicyPlugin/KurrentDB.Auth.StreamPolicyPlugin.csproj,False
src,KurrentDB,KurrentDB.Auth.UserCertificates,KurrentDB.Auth.UserCertificates/KurrentDB.Auth.UserCertificates.csproj,False
src,KurrentDB,KurrentDB.ClusterNode.Web,KurrentDB.ClusterNode.Web/KurrentDB.ClusterNode.Web.csproj,False
src,KurrentDB,KurrentDB.Common,KurrentDB.Common/KurrentDB.Common.csproj,False
src,KurrentDB,KurrentDB.Core,KurrentDB.Core/KurrentDB.Core.csproj,False
src,KurrentDB,KurrentDB.Diagnostics.LogsEndpointPlugin,KurrentDB.Diagnostics.LogsEndpointPlugin/KurrentDB.Diagnostics.LogsEndpointPlugin.csproj,False
