repo,project,references,referencePath,crossRepo
akka.net,Akka.Docs.Tests,Akka.Streams,src/core/Akka.Streams/Akka.Streams.csproj,False
akka.net,Akka.Docs.Tests,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.Docs.Tests,Akka.Cluster.Tools,src/contrib/cluster/Akka.Cluster.Tools/Akka.Cluster.Tools.csproj,False
akka.net,Akka.Docs.Tests,Akka.TestKit.Xunit2,src/contrib/testkits/Akka.TestKit.Xunit2/Akka.TestKit.Xunit2.csproj,False
akka.net,Akka.Remote.Tests.MultiNode,Akka.Remote.TestKit,src/core/Akka.Remote.TestKit/Akka.Remote.TestKit.csproj,False
akka.net,Akka.Remote.Tests.MultiNode,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Remote.TestKit,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Remote.TestKit,Akka.TestKit.Xunit2,src/contrib/testkits/Akka.TestKit.Xunit2/Akka.TestKit.Xunit2.csproj,False
akka.net,Akka.Cluster.Tests.MultiNode,Akka.Cluster.TestKit,src/core/Akka.Cluster.TestKit/Akka.Cluster.TestKit.csproj,False
akka.net,Akka.Cluster.Tests.MultiNode,Akka.Coordination.Tests,src/core/Akka.Coordination.Tests/Akka.Coordination.Tests.csproj,False
akka.net,Akka.Cluster.Tests.MultiNode,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Discovery,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.Streams.Tests,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Streams.Tests,Akka.Streams,src/core/Akka.Streams/Akka.Streams.csproj,False
akka.net,Akka.Streams.Tests,Akka.Streams.TestKit,src/core/Akka.Streams.TestKit/Akka.Streams.TestKit.csproj,False
akka.net,Akka.Streams.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
akka.net,Akka.Cluster.TestKit,Akka.Remote.TestKit,src/core/Akka.Remote.TestKit/Akka.Remote.TestKit.csproj,False
akka.net,Akka.Cluster.TestKit,Akka.Cluster,src/core/Akka.Cluster/Akka.Cluster.csproj,False
akka.net,Akka.Streams.TestKit,Akka.Streams,src/core/Akka.Streams/Akka.Streams.csproj,False
akka.net,Akka.Streams.TestKit,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.Remote.Tests.Performance,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.Cluster,Akka.Coordination,src/core/Akka.Coordination/Akka.Coordination.csproj,False
akka.net,Akka.Cluster,Akka.Remote,src/core/Akka.Remote/Akka.Remote.csproj,False
akka.net,Akka.TestKit.Tests,Akka,src/core/Akka/Akka.csproj,False
akka.net,Akka.TestKit.Tests,Akka.TestKit,src/core/Akka.TestKit/Akka.TestKit.csproj,False
akka.net,Akka.TestKit.Tests,Akka.TestKit.Xunit2,src/contrib/testkits/Akka.TestKit.Xunit2/Akka.TestKit.Xunit2.csproj,False
akka.net,Akka.TestKit.Tests,Akka.Tests.Shared.Internals,src/core/Akka.Tests.Shared.Internals/Akka.Tests.Shared.Internals.csproj,False
